symbol,short_name
BILENERGY,BIL ENERGY SYSTEMS
BIRLATYRE,BIRLA TYRES LTD
BLUEBLENDS,BLUE BLENDS (INDIA
BRFL,BOMBAY RAYON FASHIONS LTD
CANDC,C & C CONSTRUCTION
CCCL,CONS CONSTRUCT CON
CELESTIAL,CELESTIAL BIOLABS
CKFSL,COX & KINGS FINANC
DHARSUGAR,DHARANI SUGAR & CH
DQE,DQ ENTERTAINMENT I
DSKULKARNI,error
EASTSUGIND,error
EASUNREYRL,EASUN REYROLLE LTD
EON,EON ELECTRIC LTD
EUROCERA,EURO CERAMICS LTD
EUROMULTI,EURO MULTIVISION L
FEDDERELEC,error
GAMMONIND,error
GITANJALI,GITANJALI GEMS LTD
ICSA,I.C.S.A (INDIA) LT
INDLMETER,IMP POWERS LTD
IVRCLINFRA,error
JAINSTUDIO,JAIN STUDIOS
JBFIND,JBF INDUSTRIES
JIKIND,JIK INDUSTRIES
JINDCOT,JINDAL COTEX LTD
JPINFRATEC,JAYPEE INFRATECH L
KGL,KARUTURI GLOBAL
KSERASERA,KSS LTD
KSK,KSK ENERGY VENTURE
LAKSHMIEFL,error
LEEL,LEEL ELECTRICALS L
MANPASAND,MANPASAND BEVERAGE
MCDHOLDING,MCDOWELL HOLDINGS
MERCATOR,MERCATOR LTD
METKORE,METKORE ALLOYS & I
MODTHREAD,error
MOHOTAIND,MOHOTA INDUSTRIES
MVL,MVL LTD
NAKODA,NAKODA LTD
NITINFIRE,NITIN FIRE PROTECT
NTL,NEUEON TOWERS LTD
NUTEK,NU TEK INDIA LTD
OPTOCIRCUI,OPTO CIRCUITS IND
PDPL,PARENTERAL DRUGS LTD
PINCON,error
PRATIBHA,error
PUNJLLOYD,PUNJ LLOYD LTD
RAINBOWPAP,RAINBOW PAPERS LTD
RMMIL,error
RUSHABEAR,error
SATHAISPAT,SATHAVAHANA ISPAT
SBIHOMEFIN,error
SHIRPUR-G,SHIRPUR GOLD REFIN
TALWALKARS,TALWALKARS BETTER
TALWGYM,TALWALKARS HEALTH
TECHNOFAB,TECHNOFAB ENGINEER
TULSI,error
UNIPLY,UNIPLY INDUSTRIES
UNITY,UNITY INFRAPROJECT
VALECHAENG,error
VALUEIND,error
VIDEOIND,VIDEOCON INDUST
VISUINTL,error
VIVIMEDLAB,VIVIMED LABS LTD
ZICOM,ZICOM ELECTRONIC S
